subject,trial_id,gain,loss,trial_pay,stage_pay,win_plan_take_final_take,win_plan_take_final_reject,win_plan_reject_final_take,win_plan_reject_final_reject,lose_plan_take_final_take,lose_plan_take_final_reject,lose_plan_reject_final_take,lose_plan_reject_final_reject
81,21,180,-200,20,180,0,0,0,1,0,0,0,0
81,22,200,-120,180,200,1,0,0,0,0,0,0,0
81,23,180,-100,80,-100,0,0,0,0,1,0,0,0
81,24,100,-120,80,-120,0,0,0,0,0,0,1,0
81,25,200,-160,-240,-160,0,0,0,0,1,0,0,0
81,26,200,-220,-320,200,0,0,0,1,0,0,0,0
81,27,160,-100,200,-100,0,0,0,0,1,0,0,0
81,28,200,-180,60,-180,0,0,0,0,1,0,0,0
81,29,200,-100,20,200,1,0,0,0,0,0,0,0
81,30,140,-100,400,140,1,0,0,0,0,0,0,0
81,31,200,-140,40,200,1,0,0,0,0,0,0,0
